reason,pieces,fraction_closed,net_piece_r
end_of_data,1,1.0,1.179111433400481
stop,85,76.7,-63.79642874926891
tp1,25,10.0,19.822462187389426
tp2,13,3.9,13.562833775545483
tp3,8,2.4000000000000004,11.935712916289996
