session,trades,net_r,expectancy_r,win_rate
asia,41,-9.145156847866131,-0.22305260604551538,0.2926829268292683
london,33,-14.229242349928953,-0.43118916211905917,0.21212121212121213
new_york,10,3.1892546134820052,0.31892546134820055,0.4
rollover_other,10,2.8888361476695525,0.28888361476695523,0.3
