symbol,timeframe,timestamp,close,trend,ma7,ma25,ma99,rsi14,volume_zscore,close_zscore20,long_predictive_tag,short_predictive_tag
AGLDUSDT,4h,2026-06-30T20:00:00+00:00,0.1852,neutral,0.193,0.19542,0.16859595959595963,49.68228005398649,-1.2022303813728745,-0.3498950149142101,neutral,neutral
ALICEUSDT,4h,2026-06-30T20:00:00+00:00,0.1155,neutral,0.11968571428571428,0.119616,0.11964040404040405,40.02089488413513,-0.40918760411825483,-1.0274148472854976,neutral,neutral
ANKRUSDT,4h,2026-06-30T20:00:00+00:00,0.00334,bearish,0.0034,0.0034744000000000003,0.0036614141414141417,34.524121743951,-0.6876664321682849,-1.973321662444468,predictive_bollinger_reclaim,neutral
ARUSDT,4h,2026-06-30T20:00:00+00:00,1.995,neutral,1.9601428571428572,1.90052,1.9650808080808078,60.90857043395048,-0.1302811987305824,1.347093611010735,neutral,neutral
AXSUSDT,4h,2026-06-30T20:00:00+00:00,0.964,bearish,0.979,0.9858,1.0133434343434342,38.48202742993314,-1.1776436639679297,-1.4187445928234235,neutral,neutral
BANDUSDT,4h,2026-06-30T20:00:00+00:00,0.139,bearish,0.14078571428571426,0.14374,0.15606060606060607,37.82852124683251,-0.9167954203622892,-1.8826777454169992,neutral,neutral
BATUSDT,4h,2026-06-30T20:00:00+00:00,0.078,bearish,0.08037142857142857,0.08308,0.08775757575757574,25.717248581079375,3.3676758283458006,-2.3444577509900384,predictive_zscore_reclaim,neutral
BLURUSDT,4h,2026-06-30T20:00:00+00:00,0.01422,bearish,0.014438571428571429,0.014657200000000002,0.015812323232323233,39.43493335747616,-0.6220937420455538,-2.0360576655335034,neutral,neutral
CHZUSDT,4h,2026-06-30T20:00:00+00:00,0.01787,neutral,0.018478571428571428,0.017932,0.020686464646464647,46.03990550268899,-0.3745115909262193,-0.08000349617168845,neutral,neutral
CKBUSDT,4h,2026-06-30T20:00:00+00:00,0.000871,bearish,0.0008967142857142856,0.0009288399999999999,0.0010233434343434344,26.98000075501345,2.3552618834859538,-2.287054185788467,neutral,neutral
COMPUSDT,4h,2026-06-30T20:00:00+00:00,15.19,bearish,15.495714285714286,15.7592,16.970606060606062,32.45965027303154,-0.761802406266677,-2.6193414467512572,neutral,neutral
CRVUSDT,4h,2026-06-30T20:00:00+00:00,0.1845,bearish,0.18854285714285712,0.190896,0.20982828282828284,36.96188348598283,-0.15197773698524886,-2.6169863501612523,neutral,neutral
CTSIUSDT,4h,2026-06-30T20:00:00+00:00,0.02158,bearish,0.02189714285714286,0.021911200000000002,0.02302070707070707,42.43506811946454,-0.44845085139902363,-1.5761105545994276,neutral,neutral
CVXUSDT,4h,2026-06-30T20:00:00+00:00,1.061,bearish,1.0761428571428573,1.09504,1.2092222222222222,36.52875234313977,0.09314469375600784,-1.908061041708159,predictive_bollinger_reclaim,neutral
DYDXUSDT,4h,2026-06-30T20:00:00+00:00,0.18004,bullish,0.16653714285714288,0.1597608,0.13660262626262626,72.3803680295317,1.2108666532972698,2.649325141323183,neutral,neutral
EGLDUSDT,4h,2026-06-30T20:00:00+00:00,2.52,neutral,2.562857142857143,2.5595999999999997,2.7584848484848483,42.45195389084169,-0.6405235070164897,-0.7639478076866412,neutral,neutral
ENSUSDT,4h,2026-06-30T20:00:00+00:00,4.07,bearish,4.102857142857142,4.1656,4.67020202020202,39.29063838903003,-1.0605229531870108,-1.5165402737567186,neutral,neutral
FLOKIUSDT,4h,2026-06-30T20:00:00+00:00,2.153e-05,neutral,2.1925714285714287e-05,2.1894800000000003e-05,2.4246565656565656e-05,38.94225636191212,-1.3626409586017318,-1.152427506555088,neutral,neutral
FLUXUSDT,4h,2026-06-30T20:00:00+00:00,0.0431,bearish,0.0435,0.044352,0.04858484848484848,40.660877598164646,-0.7081672048517554,-1.4574540851474307,neutral,neutral
GALAUSDT,4h,2026-06-30T20:00:00+00:00,0.002234,bearish,0.002259571428571428,0.0022798799999999998,0.0024931919191919193,38.5735363571827,3.945538584295016,-2.138039130780625,neutral,neutral
GLMRUSDT,4h,2026-06-30T20:00:00+00:00,0.008,bearish,0.00817142857142857,0.008436,0.008957575757575758,25.19531530041472,-1.4146432404815528,-1.9597004187422975,predictive_bollinger_reclaim,neutral
GMTUSDT,4h,2026-06-30T20:00:00+00:00,0.00732,bearish,0.00745,0.0075580000000000005,0.007921616161616163,39.14134683390112,-1.1151582235314337,-2.0763305223096444,neutral,neutral
GMXUSDT,4h,2026-06-30T20:00:00+00:00,5.3,neutral,5.428571428571429,5.459199999999999,5.664040404040404,40.784001458807765,-0.036868291382980936,-2.4691646705919448,neutral,neutral
