scenario,total_trades,wins,losses,breakevens,win_rate_total,net_r,expectancy_r,average_win_r,average_loss_r,profit_factor_r,max_drawdown_quote,ending_equity,skipped_signals
baseline,1,1,0,0,1.0,2.8983769255583933,2.8983769255583933,2.8983769255583933,0.0,,0.0,10289.837692555839,0
high_fee,1,1,0,0,1.0,2.8983769255583933,2.8983769255583933,2.8983769255583933,0.0,,0.0,10289.837692555839,0
high_slippage,1,1,0,0,1.0,2.8983769255583933,2.8983769255583933,2.8983769255583933,0.0,,0.0,10289.837692555839,0
fee_plus_slippage,1,1,0,0,1.0,2.8983769255583933,2.8983769255583933,2.8983769255583933,0.0,,0.0,10289.837692555839,0
