symbol,trades,wr,pf,net_pnl_r,sharpe
ALGOUSDT,8,0.375,0.97,-0.18,-0.04
AVAXUSDT,10,0.5,1.57,4.33,0.68
BCHUSDT,2,0.0,0.0,-3.0,-24.04
COMPUSDT,6,0.5,1.36,1.98,0.37
CRVUSDT,6,0.3333,0.93,-0.37,-0.08
DOGEUSDT,4,0.5,1.58,2.06,0.44
ETCUSDT,10,0.5,1.47,4.05,0.58
KAVAUSDT,6,0.1667,0.29,-5.32,-1.51
LINKUSDT,6,0.5,1.46,2.6,0.43
NEARUSDT,8,0.5,1.7,4.07,0.73
RUNEUSDT,4,0.5,1.29,1.27,0.25
SOLUSDT,10,0.4,1.06,0.51,0.09
TRBUSDT,4,0.5,1.0,0.0,0.0
