feature,importance
m15_bb_width,554
m15_bb_pos,461
h4_bb_pos,447
h1_bb_width,433
h4_rsi,402
h4_ao,397
h4_bb_width,384
m15_macd,355
h1_bb_pos,352
m15_rsi,348
m15_atr_pct,348
m15_swing_dist,345
h1_macd,315
rsi_gradient,293
h1_ma7_slope,289
bb_sqz_product,282
h1_rsi,274
tf_vol_sum,272
h1_ao,267
h1_vol_z,261
m15_ma7_slope,249
ao_gradient,240
m15_ao,232
m15_vol_z,215
h4_macd,154
h4_trend,36
m15_trend,28
h1_trend,26
mtf_15_1h_agree,8
mtf_triple_agree,6
