symbol,trades,wr,pf,net_pnl_r,sharpe
BCHUSDT,48,0.4375,1.35,12.66,1.0
BTCUSDT,32,0.25,1.0,-0.09,-0.01
ETHUSDT,20,0.45,1.82,10.76,1.2
LTCUSDT,76,0.2895,0.81,-11.22,-0.85
XRPUSDT,66,0.2273,0.86,-5.54,-0.49
